"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Alex Claudio","Brewers","2","2","4.06","83","0","0","0","0","22","3","62.0","267","57","29","28","8","24","2","6","1","0","44","12890"
"Nick Ramirez","Tigers","5","4","4.07","46","0","0","0","0","1","1","79.2","348","76","45","36","11","35","4","1","6","0","74","12575"
"Glenn Sparkman","Royals","0","1","4.08","8","0","0","0","0","0","0","17.2","82","23","8","8","2","6","0","2","1","0","11","15200"
"Matt Magill","- - -","5","2","4.09","50","0","0","0","5","1","2","50.2","229","51","31","23","7","20","3","2","5","0","64","3950"
"Luis Cessa","Yankees","2","1","4.11","43","0","0","0","1","4","0","81.0","343","75","42","37","14","31","1","3","1","0","75","13345"
"Colten Brewer","Red Sox","1","2","4.12","58","0","0","0","0","6","1","54.2","253","59","26","25","6","34","1","2","9","0","52","12997"
"Jesse Chavez","Rangers","2","2","4.13","39","0","0","0","1","8","1","48.0","208","52","24","22","7","17","0","2","0","0","44","5448"
"Brett Martin","Rangers","2","2","4.15","49","0","0","0","0","4","1","60.2","267","67","33","28","7","16","2","1","2","0","59","17369"
"Zac Grotz","Mariners","1","0","4.15","14","0","0","0","0","1","0","17.1","73","14","9","8","0","8","1","1","6","0","18","18256"
"Fernando Abad","Giants","0","2","4.15","21","0","0","0","0","8","0","13.0","49","9","6","6","2","3","0","0","1","0","9","4994"
"Raisel Iglesias","Reds","3","12","4.16","68","0","0","0","34","3","6","67.0","279","61","31","31","12","21","4","2","3","0","89","17130"
"Tony Watson","Giants","2","2","4.17","60","0","0","0","0","25","3","54.0","231","56","26","25","9","12","1","5","1","0","41","3132"
"Wilmer Font","- - -","4","1","4.17","31","0","0","0","0","2","1","49.2","207","46","23","23","10","14","1","2","1","1","55","5257"
"Luis Perdomo","Padres","2","4","4.19","46","0","0","0","0","7","1","68.2","284","67","33","32","6","18","1","2","3","0","55","14682"
"Scott Barlow","Royals","3","3","4.22","61","0","0","0","1","14","2","70.1","310","64","33","33","6","37","3","3","5","1","92","14993"
"Joakim Soria","Athletics","2","4","4.24","70","0","0","0","1","21","5","68.0","273","49","32","32","8","20","1","3","5","1","77","6941"
"Touki Toussaint","Braves","4","0","4.24","23","0","0","0","0","2","0","40.1","184","38","21","19","5","25","2","4","5","0","43","16929"
"Dylan Floro","Dodgers","5","3","4.24","50","0","0","0","0","6","3","46.2","201","46","25","22","4","14","5","2","1","0","42","13394"
"Felix Pena","Angels","8","1","4.26","15","0","0","0","0","1","0","67.2","283","55","35","32","11","23","0","2","7","0","77","13403"
"Jacob Rhame","Mets","0","1","4.26","5","0","0","0","0","0","0","6.1","30","3","4","3","1","9","0","0","0","0","5","15267"
"Jimmy Herget","Reds","0","0","4.26","5","0","0","0","0","0","0","6.1","26","8","3","3","2","3","0","0","0","0","0","17556"
"Buddy Boshers","Blue Jays","0","3","4.26","27","0","0","0","0","4","0","19.0","87","20","10","9","3","9","0","1","2","0","25","8490"
"Brian Moran","Marlins","1","0","4.26","10","0","0","0","0","2","1","6.1","29","6","3","3","1","2","1","2","0","0","10","9646"
"Daniel Norris","Tigers","0","0","4.32","3","0","0","0","0","0","0","8.1","38","11","4","4","3","3","0","0","1","0","4","13475"
"Logan Allen","- - -","0","1","4.32","5","0","0","0","0","0","0","8.1","39","11","5","4","3","4","0","1","0","0","4","18555"
"Blake Parker","- - -","3","2","4.32","58","0","0","0","10","13","1","58.1","243","50","29","28","11","22","0","3","4","0","61","5224"
"Jose Cisnero","Tigers","0","4","4.33","35","0","0","0","0","4","2","35.1","162","35","21","17","5","19","3","3","1","0","40","6399"
"Daniel Stumpf","Tigers","1","1","4.34","48","0","0","0","0","5","2","29.0","135","35","18","14","5","15","1","0","0","0","28","13780"
"Chad Green","Yankees","4","3","4.35","39","0","0","0","2","4","0","49.2","211","48","26","24","6","11","0","4","1","0","66","15552"
"Luis Garcia","Angels","2","1","4.35","62","0","0","0","1","6","2","60.0","271","59","34","29","12","33","1","5","7","0","56","6984"
"Jake McGee","Rockies","0","2","4.35","45","0","0","0","0","4","2","41.1","180","47","25","20","11","11","1","3","0","1","35","7550"
"Ryan Tepera","Blue Jays","0","2","4.35","22","0","0","0","0","2","0","20.2","85","18","10","10","4","7","2","0","2","0","14","10291"
"Vince Velasquez","Phillies","1","1","4.35","10","0","0","0","0","2","0","10.1","48","13","6","5","3","6","0","0","1","0","15","11189"
"Sam Selman","Giants","0","0","4.35","10","0","0","0","0","1","1","10.1","44","6","5","5","2","6","0","2","0","0","10","13397"
"Williams Jerez","- - -","1","0","4.35","12","0","0","0","0","1","0","10.1","48","12","5","5","2","9","0","0","2","0","9","14338"
"Andrew Suarez","Giants","0","0","4.37","19","0","0","0","0","1","1","22.2","99","26","11","11","4","7","1","1","0","0","18","18300"
"Joe Jimenez","Tigers","4","7","4.37","66","0","0","0","9","15","5","59.2","257","56","33","29","13","23","1","4","1","1","82","15761"
"Nick Pivetta","Phillies","0","2","4.38","17","0","0","0","1","1","0","24.2","115","25","18","12","4","14","2","2","4","0","31","15454"
"Randy Rosario","- - -","2","0","4.40","19","0","0","0","0","0","1","14.1","63","15","9","7","2","5","0","0","3","0","13","14508"
"Tyler Olson","Indians","1","1","4.40","39","0","0","0","0","1","1","30.2","140","34","15","15","3","16","2","2","2","0","28","14741"
"Zack Godley","- - -","3","0","4.42","24","0","0","0","2","0","0","53.0","218","44","26","26","9","20","0","3","0","0","40","14862"
"Jose Leclerc","Rangers","2","4","4.43","67","0","0","0","14","7","4","65.0","282","48","33","32","7","37","1","6","7","0","96","14524"
"Trevor Gott","Giants","7","0","4.44","50","0","0","0","1","1","1","52.2","214","41","26","26","4","17","0","2","1","0","57","15046"
"Andrew Miller","Cardinals","5","6","4.45","73","0","0","0","6","28","5","54.2","236","45","32","27","11","27","1","8","4","0","70","6785"
"Derek Law","Blue Jays","1","2","4.45","54","0","0","0","5","8","1","56.2","265","56","31","28","7","37","3","3","7","0","65","13133"
"Adam Cimber","Indians","6","3","4.45","68","0","0","0","1","19","2","56.2","244","56","29","28","6","19","2","4","0","0","41","15288"
