Name,playerId,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,RHH_OPS,RHH_HR/9,RHH_SO/BB,RHH_ERA,RHH_WHIP
Robert Stephenson,13594,CIN,39,147,2.7692,22,8,1,14,12,5,7,1,0,50,0.159420289,0.198630136,0.34057971,0.221094032,0.539209846,1.153846154,7.142857143,2.7692,0.743589744
Clay Holmes,13649,PIT,30.1,139,5.6374,24,4,0,22,19,4,17,0,7,38,0.208695652,0.345323741,0.347826086,0.311568601,0.693149827,1.196013289,2.235294118,5.6374,1.362126246
John Gant,13684,STL,44.2,175,3.4254,34,5,1,19,17,1,17,1,0,42,0.215189873,0.291428571,0.278481012,0.253310235,0.569909583,0.20361991,2.470588235,3.4254,1.153846154
Nick Goody,13685,CLE,26,109,3.1154,18,2,1,10,9,5,12,0,0,36,0.1875,0.275229357,0.385416666,0.281097532,0.660646023,1.730769231,3,3.1154,1.153846154
Robert Gsellman,13696,NYM,41.1,171,4.3548,38,9,1,20,20,5,11,0,4,36,0.248366013,0.311764705,0.418300653,0.309692612,0.730065358,1.094890511,3.272727273,4.3548,1.192214112
Kyle Barraclough,13713,2 Tms,20.2,105,5.6613,26,5,0,16,13,6,13,1,2,28,0.295454545,0.394230769,0.556818181,0.393073908,0.95104895,2.673267327,2.153846154,5.6613,1.930693069
Tyler Duffey,13758,MIN,30.2,128,2.0543,24,3,0,13,7,4,9,0,1,54,0.205128205,0.267716535,0.333333333,0.260813599,0.601049868,1.19205298,6,2.0543,1.092715232
Chris Stratton,13761,2 Tms,30.1,135,5.6374,39,10,1,22,19,6,8,0,0,27,0.309523809,0.348148148,0.547619047,0.370271036,0.895767195,1.794019934,3.375,5.6374,1.561461794
Dominic Leone,13763,STL,22.2,95,7.5441,22,5,0,19,19,6,8,1,0,24,0.255813953,0.319148936,0.523255813,0.345357839,0.842404749,2.432432432,3,7.5441,1.351351351
Roberto Osuna,13764,HOU,30,121,3.6,27,3,0,12,12,5,4,0,0,34,0.23076923,0.256198347,0.384615384,0.269680902,0.640813731,1.5,8.5,3.6,1.033333333
